NR,RA,DEC,X,Y,V,Age
1000394,84.683090,-69.086327,2827.51,1773.90,23.23,18.0
1000395,84.683060,-69.084877,2828.55,1907.92,23.29,0.3
1000396,84.683029,-69.082909,2829.47,2089.45,22.20,1.2
1000397,84.682953,-69.098419,2831.67,657.96,22.15,15.7
1000398,84.682930,-69.073830,2832.94,2927.75,22.78,1.7
1000399,84.682884,-69.063370,2834.34,3892.95,21.04,0.0
1000400,84.682884,-69.078629,2834.37,2484.41,25.15,29.0
1000401,84.682800,-69.057068,2837.32,4474.24,20.57,1.5
1000402,84.682755,-69.076683,2838.57,2664.43,22.65,0.0
1000403,84.682571,-69.062546,2844.78,3969.08,22.34,32.4
1000404,84.682533,-69.090530,2845.67,1386.16,20.15,4.7
1000405,84.682541,-69.070038,2845.76,3277.44,22.04,0.7
1000406,84.682480,-69.077873,2847.60,2554.50,24.37,16.9
1000407,84.682472,-69.077820,2847.84,2559.30,22.13,0.6
1000408,84.682449,-69.073654,2848.79,2943.40,22.89,8.8
1000409,84.682274,-69.075287,2854.38,2792.62,22.88,4.0
1000410,84.682266,-69.075157,2854.70,2804.90,22.31,1.4
1000411,84.682121,-69.092842,2859.22,1172.84,22.15,12.5
1000412,84.682114,-69.073769,2859.85,2933.34,22.75,2.7
1000413,84.681725,-69.082886,2872.37,2091.69,19.91,4.7
1000414,84.681686,-69.085518,2873.72,1848.44,24.63,7.4
1000415,84.681671,-69.075729,2874.25,2751.92,21.09,1.1
1000416,84.681480,-69.078041,2880.68,2538.72,22.67,0.0
1000417,84.681465,-69.063644,2881.18,3867.83,20.54,5.9
1000418,84.681442,-69.099136,2881.58,591.30,19.39,3.8
1000419,84.681450,-69.073898,2881.66,2921.37,20.62,6.6
1000420,84.681335,-69.069923,2885.49,3288.03,21.78,7.5
1000421,84.681274,-69.081161,2887.42,2251.03,20.34,1.5
